2018-09-06,4821
2018-09-08,5213
2018-09-10,3764
2018-09-12,4710
2018-09-14,4759
2018-09-16,3537
2018-09-18,3827
2018-09-20,4285
2018-09-22,4172
2018-09-24,3744
2018-09-26,3783
2018-09-28,3426
2018-09-30,2886
2018-10-02,2915
2018-10-04,3481
2018-10-06,3607
2018-10-08,2974
2018-10-10,3319
2018-10-12,4107
2018-10-14,3627
2018-10-16,3561
2018-10-18,3819
2018-10-20,3415
2018-10-22,3001
2018-10-24,3486
2018-10-26,3756
2018-10-28,3301
2018-10-30,3517
2018-11-01,4288
2018-11-03,3860
2018-11-05,3530
2018-11-07,4351
2018-11-09,3960
2018-11-11,3540
2018-11-13,4185
2018-11-15,5012
2018-11-17,5986
2018-11-19,4403
2018-11-21,7675
2018-11-23,6267
2018-11-25,5641
2018-11-27,7546
2018-11-29,6022
2018-12-01,4273
2018-12-03,3577
2018-12-05,4981
2018-12-07,5967
2018-12-09,5522
2018-12-11,4438
2018-12-13,4794
2018-12-15,5318
2018-12-17,4469
2018-12-19,5368
2018-12-21,4428
2018-12-23,3599
2018-12-25,3317
2018-12-27,3079
2018-12-29,3655
2018-12-31,3456
2019-01-02,3070
2019-01-04,4485
2019-01-06,3708
2019-01-08,3787
2019-01-10,3724
2019-01-12,3334
2019-01-14,3744
2019-01-16,3463
2019-01-18,3727
2019-01-20,3302
2019-01-22,3825
2019-01-24,3420
2019-01-26,3503
2019-01-28,3350
2019-01-30,3891
2019-02-02,3853
2019-02-04,3430
2019-02-06,4926
2019-02-08,4234
2019-02-10,3588
2019-02-12,3664
2019-02-14,3557
2019-02-16,3154
2019-02-18,2680
2019-02-20,3374
2019-02-22,3441
2019-02-24,3574
2019-02-26,3473
2019-02-28,3169
2019-03-02,3336
2019-03-04,2858
2019-03-06,3266
2019-03-08,3378
2019-03-10,3143
2019-03-12,2966
2019-03-14,3157
2019-03-16,2880
2019-03-18,2969
2019-03-20,3173
2019-03-22,3043
2019-03-24,3081
2019-03-26,2626
2019-03-28,2880
2019-03-30,3136
2019-04-01,2232
2019-04-03,3606
2019-04-05,4666
2019-04-07,3588
2019-04-09,3819
2019-04-11,5306
2019-04-13,3641
2019-04-15,2533
2019-04-17,3531
2019-04-19,3252
2019-04-21,2943
2019-04-23,3360
2019-04-25,3925
2019-04-27,3662
2019-04-29,3024
2019-05-01,3036
2019-05-03,3602
2019-05-05,3686
2019-05-07,3734
2019-05-09,4501
2019-05-11,4624
2019-05-13,4611
2019-05-15,6951
2019-05-17,5661
2019-05-19,4283
2019-05-21,4166
2019-05-23,4691
2019-05-25,4221
2019-05-27,3792
2019-05-29,4736
2019-05-31,5011
2019-06-02,3926
2019-06-04,3744
2019-06-06,3881
